No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
37	Aluminium	ACP Panel	ACP Panel EACP423D Double Side (Black) 4ft x 8ft x 3.00mm	1	PCS	90	90	2022-05-30	YIT LOONG BUILDING MATERIALS SDN BHD	wrong_category_fixed=1;size_added=1
38	Aluminium	ACP Panel	Vitally ACP Panel 4ft x 8ft x 3.00mm (Double Side) Silver	1	PCS	80	80	2022-06-11	YIT LOONG BUILDING MATERIALS SDN BHD	
39	Aluminium	ACP Panel	Vitally ACP Panel 4ft x 8ft x 3.00mm (Double Side) White	1	PCS	91.00	91	2024-05-17	YIT LOONG BUILDING MATERIALS SDN BHD	
40	Aluminium	ACP Panel	Vitally ACP Panel EACP423D 4ft x 8ft x 3.00mm (Double Side) Black	1	PCS	90.00	90	2022-05-30	YIT LOONG BUILDING MATERIALS SDN BHD	
41	Aluminium	Aluminium Profile	Aluminium Angle 1/2" x 1/2" x 6.00m	1	PCS	0.8	0.8	2025-08-13		
42	Aluminium	Aluminium Profile	Aluminium Angle/L-trim 10.00mm	12	M	8.5	102			
43	Aluminium	Aluminium Profile	IS303 Insert Screen NA	1	PCS	16.9	16.9	2024-03-25	YIT LOONG BUILDING MATERIALS SDN BHD	
44	Aluminium	Aluminium Profile	IS410 Insert Screen Bottom NA	1	PCS	18.9	18.9	2024-03-25	YIT LOONG BUILDING MATERIALS SDN BHD	
45	Aluminium	Aluminium Profile	IS411 Insert Screen Top NA	1	PCS	14.6	14.6	2024-03-25	YIT LOONG BUILDING MATERIALS SDN BHD	
46	Aluminium	Aluminium Profile	SC403 Showcase Profile SC9901 Top E Section	1	PCS	29.1	29.1	2024-07-15	YIT LOONG BUILDING MATERIALS SDN BHD	
47	Aluminium	Aluminium Profile	SC405 Showcase Profile SC9705 A Section	1	PCS	34.7	34.7	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
48	Aluminium	Aluminium Profile	SC406 Showcase Profile SC9706 Bottom B Section	1	PCS	20	20	2024-09-28	YIT LOONG BUILDING MATERIALS SDN BHD	
49	Aluminium	Aluminium Profile	SF002 WH Shopfront Glazing Bead	1	PCS	146.4	146.4	2022-01-25	DRAGON CITY CONSTRUCTION SDN BHD	Malay: cermin mata
50	Aluminium	Aluminium Profile	SH007 Sliding Door Outer Bottom Track WH	1	PCS	66.4	66.4	2023-01-17	Wintech Building Materials Sdn Bhd	src=2023-01-17 CS64959PCH - WINTECH POLY INDUSTRIES SDN BHD.pdf;verify_needed=1;wrong_category_fixed=1;normalized_case=1
51	Aluminium	Aluminium Profile	SH008 Sliding Door 3-Way Side Jamb NA 14ft	3	PCS	40.7	122.1	2024-01-15	Wintech Building Materials Sdn Bhd	src=2024-01-15 CS82543PCH - WINTECH POLY INDUSTRIES SDN BHD.pdf;verify_needed=1;normalized_case=1
52	Aluminium	Aluminium Profile	Stair Nosing Aluminium Anti-slip	20	M	25.00	500			
53	Aluminium	Aluminium Profile	SWD304 Aluminium Profile 4.34m 6063-T5 NA	4	PCS	57.00	228	2021-04-21	Superb Aluminium Industries Sdn Bhd	src=2021-04-21 ID2104-0698 - SUPERB ALUMINIUM INDUSTRIES SDN BHD.pdf;verify_needed=1;wrong_category_fixed=1;normalized_case=1
54	Aluminium	Aluminium Profile	SWD307 Aluminium Profile 6.10m 6063-T5 NA	8	PCS	14.24	113.92	2021-04-21	Superb Aluminium Industries Sdn Bhd	src=2021-04-21 ID2104-0698 - SUPERB ALUMINIUM INDUSTRIES SDN BHD.pdf;verify_needed=1;wrong_category_fixed=1;normalized_case=1
55	Aluminium	Aluminium Profile	UC0606 U Channel 6/8" NA	1	PCS	18.8	18.8	2021-03-03	YIT LOONG BUILDING MATERIALS SDN BHD	
56	Aluminium	Aluminium Profile	UC0808 U Channel 1" NA	1	PCS	25	25	2021-03-26	YIT LOONG BUILDING MATERIALS SDN BHD	
57	Aluminium	Aluminium Profile	WN0408 Hollow 1/2" x 1" NA	1	PCS	22.3	22.3	2024-06-14	YIT LOONG BUILDING MATERIALS SDN BHD	
