No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier
23	Labour	Electrical Works (Exposed)	Pendawaian 2.5mm 3 Pin Plug Point (Looping)		PCS	30.00			
24	Labour	Electrical Works (Exposed)	Pendawaian 2.5mm 3 Pin Plug Point (Looping) 1m > /mtr		PCS	30.00			
25	Labour	Electrical Works (Exposed)	Pendawaian 2.5mm Air Cond 1.03.0HP		PCS	180.00			
26	Labour	Electrical Works (Exposed)	Pendawaian 2.5mm Water Heater		PCS	180.00			
27	Labour	Installation Works	Caj Tambahan Pemasangan Air Cond Jenis Inverter		PCS	80.00			
28	Labour	Installation Works	Membuka Semua Jenis Kipas		PCS	25.00			
29	Labour	Installation Works	Menebuk Dinding Lubang Exhaust Fan		PCS	80.00			
30	Labour	Installation Works	Pemasangan Air Cond 1.0HP Wall Type		PCS	300.00			
31	Labour	Installation Works	Pemasangan Air Cond 1.5HP Cassette Type		PCS	450.00			
32	Labour	Installation Works	Pemasangan Air Cond 1.5HP Ceiling Type		PCS	400			
33	Labour	Installation Works	Pemasangan Air Cond 1.5HP Wall Type		PCS	350.00			
34	Labour	Installation Works	Pemasangan Air Cond 2.0HP Cassette Type		PCS	550.00			
35	Labour	Installation Works	Pemasangan Air Cond 2.0HP Ceiling Type		PCS	500.00			
36	Labour	Installation Works	Pemasangan Air Cond 2.0HP Wall Type		PCS	450			
37	Labour	Installation Works	Pemasangan Air Cond 2.5HP Cassette Type		PCS	550			
38	Labour	Installation Works	Pemasangan Air Cond 2.5HP Ceiling Type		PCS	500.00			
39	Labour	Installation Works	Pemasangan Air Cond 2.5HP Wall Type		PCS	450.00			
40	Labour	Installation Works	Pemasangan Air Cond 3.0HP Cassette Type		PCS	650.00			
41	Labour	Installation Works	Pemasangan Air Cond 3.0HP Ceiling Type		PCS	600.00			
42	Labour	Installation Works	Pemasangan Air Cond 3.0HP Wall Type		PCS	550			
43	Labour	Installation Works	Pemasangan Hook Kipas Baru		PCS	40			
44	Labour	Installation Works	Pemasangan Kipas Biasa / Remote		PCS	45.00			
45	Labour	Installation Works	Pemasangan Kipas Decoration / Berlampu		PCS	55.00			
46	Labour	Installation Works	Pemasangan Kitchen Hood		PCS	300			
47	Labour	Installation Works	Pemasangan Lampu Downlight / Tebuk		PCS	25			
48	Labour	Installation Works	Pemasangan Lampu Kalimantang		PCS	18.00			
49	Labour	Installation Works	Pemasangan Lampu T5 (1ft)		PCS	35.00			
50	Labour	Installation Works	Pemasangan Lampu T5 (2ft)		PCS	40.00			
51	Labour	Installation Works	Pemasangan Lampu T5 (3ft)		PCS	45.00			
52	Labour	Installation Works	Pemasangan Lampu T5 (4ft)		PCS	50.00			
